Toxicophore,Cramer rules
1,High (Class III)
2,High (Class III)
1,High (Class III)
2,High (Class III)
2,High (Class III)
2,High (Class III)
0,High (Class III)
1,High (Class III)
2,High (Class III)
0,High (Class III)
1,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
2,High (Class III)
0,High (Class III)
0,High (Class III)
2,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
2,High (Class III)
2,High (Class III)
2,High (Class III)
1,High (Class III)
2,High (Class III)
2,High (Class III)
2,High (Class III)
2,High (Class III)
0,High (Class III)
