Toxicophore,Cramer rules
10,High (Class III)
6,High (Class III)
10,High (Class III)
5,High (Class III)
6,High (Class III)
10,High (Class III)
5,High (Class III)
10,High (Class III)
6,High (Class III)
6,High (Class III)
10,High (Class III)
10,High (Class III)
1,High (Class III)
2,High (Class III)
8,High (Class III)
1,High (Class III)
2,High (Class III)
2,High (Class III)
7,High (Class III)
2,High (Class III)
10,High (Class III)
10,High (Class III)
0,High (Class III)
3,High (Class III)
3,High (Class III)
8,High (Class III)
5,High (Class III)
5,High (Class III)
5,High (Class III)
8,High (Class III)
1,High (Class III)
7,High (Class III)
5,High (Class III)
5,High (Class III)
7,High (Class III)
5,High (Class III)
2,High (Class III)
0,High (Class III)
3,High (Class III)
1,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
3,High (Class III)
0,High (Class III)
6,High (Class III)
8,High (Class III)
2,High (Class III)
6,High (Class III)
5,High (Class III)
0,High (Class III)
7,High (Class III)
0,High (Class III)
3,High (Class III)
5,High (Class III)
2,High (Class III)
0,High (Class III)
7,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
0,High (Class III)
2,High (Class III)
11,High (Class III)
11,High (Class III)
11,High (Class III)
11,High (Class III)
11,High (Class III)
11,High (Class III)
11,High (Class III)
9,High (Class III)
8,High (Class III)
3,High (Class III)
11,High (Class III)
8,High (Class III)
11,High (Class III)
13,High (Class III)
11,High (Class III)
10,High (Class III)
11,High (Class III)
9,High (Class III)
9,High (Class III)
10,High (Class III)
12,High (Class III)
11,High (Class III)
15,High (Class III)
13,High (Class III)
8,High (Class III)
9,High (Class III)
9,High (Class III)
9,High (Class III)
9,High (Class III)
5,High (Class III)
5,High (Class III)
5,High (Class III)
6,High (Class III)
5,High (Class III)
5,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
5,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
5,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
7,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
3,High (Class III)
3,High (Class III)
3,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
5,High (Class III)
4,High (Class III)
4,High (Class III)
3,High (Class III)
3,High (Class III)
4,High (Class III)
3,High (Class III)
4,High (Class III)
4,High (Class III)
5,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
8,High (Class III)
2,High (Class III)
3,High (Class III)
3,High (Class III)
3,High (Class III)
4,High (Class III)
4,High (Class III)
8,High (Class III)
9,High (Class III)
4,High (Class III)
2,High (Class III)
1,High (Class III)
3,High (Class III)
2,High (Class III)
5,High (Class III)
7,High (Class III)
7,High (Class III)
8,High (Class III)
4,High (Class III)
2,High (Class III)
2,High (Class III)
2,High (Class III)
4,High (Class III)
8,High (Class III)
9,High (Class III)
7,High (Class III)
0,High (Class III)
9,High (Class III)
9,High (Class III)
5,High (Class III)
14,High (Class III)
5,High (Class III)
5,High (Class III)
10,High (Class III)
11,High (Class III)
11,High (Class III)
11,High (Class III)
7,High (Class III)
14,High (Class III)
14,High (Class III)
14,High (Class III)
14,High (Class III)
14,High (Class III)
14,High (Class III)
15,High (Class III)
8,High (Class III)
5,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
12,Low (Class I)
9,High (Class III)
9,High (Class III)
9,High (Class III)
5,High (Class III)
5,High (Class III)
5,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
4,High (Class III)
8,High (Class III)
8,Low (Class I)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
8,High (Class III)
5,High (Class III)
